NA20357
NA19355
HG03291
NA20332
NA20296
HG03073
HG02095
NA19149
HG02624
NA18523
HG02144
HG03114
NA19247
HG02108
HG02595
HG03040
HG02757
HG02580
HG03458
NA20287
HG02322
HG03401
NA19159
HG03539
NA19332
HG02643
HG02278
NA19770
NA19740
NA19794
HG01260
NA19678
NA19785
HG01083
HG01462
HG01378
NA19669
HG01456
HG01372
HG01992
NA19663
HG01323
HG01965
HG01980
HG01067
HG01242
HG01342
HG01351
HG01095
HG02275
HG01080
HG01942
NA18539
HG00437
HG00513
NA18571
NA19011
NA18537
HG00663
NA18547
NA18642
HG01870
HG01598
NA18973
NA18980
NA18979
HG00690
NA18573
HG00651
HG01855
HG00581
HG01797
HG02180
HG02121
HG00233
NA20522
HG00262
HG00334
HG01507
HG01768
HG00133
HG01632
HG00237
HG00353
HG00306
NA12414
HG01668
HG02232
HG00349
HG00111
HG00379
HG00304
HG01770
NA12828
NA20760
HG00313
NA12058
HG00285
HG01628
NA20910
HG04014
HG02793
HG03770
HG03894
HG03868
HG03022
HG02790
HG03787
HG04159
HG03781
HG03882
HG03643
HG03916
HG02601
HG04227
HG04153
NA21088
HG03631
HG03895
HG03995
HG03706
HG04195
HG04001
