HG00185,M
HG00188,M
HG00242,M
HG00342,M
HG00358,M
HG00457,M
HG00613,M
HG00671,M
HG00742,M
HG01054,M
HG01063,M
HG01097,M
HG01250,M
HG01365,M
HG01383,M
HG01392,M
HG01816,M
HG02061,M
HG02330,M
HG02379,M
HG02804,M
HG03024,M
HG03054,M
HG03060,M
HG03109,M
HG03385,M
HG03472,M
HG03652,M
HG03792,M
HG03830,M
HG03848,M
HG03885,M
HG03953,M
HG03965,M
HG04003,M
HG04093,M
HG04238,M
NA18510,M
NA18559,M
NA18639,M
NA18974,M
NA19066,M
NA19079,M
NA19107,M
NA19670,M
NA19700,M
NA20278,M
NA20518,M
NA21093,M
HG00120,F
HG00231,F
HG00313,F
HG00343,F
HG00437,F
HG00581,F
HG01205,F
HG01272,F
HG01369,F
HG01468,F
HG01628,F
HG01673,F
HG01679,F
HG01685,F
HG01807,F
HG01841,F
HG01863,F
HG01976,F
HG02006,F
HG02105,F
HG02139,F
HG02181,F
HG02286,F
HG02465,F
HG02646,F
HG02649,F
HG02861,F
HG03458,F
HG03491,F
HG03595,F
HG03684,F
HG03733,F
HG03780,F
HG03787,F
HG03868,F
NA10847,F
NA11830,F
NA12046,F
NA12751,F
NA18909,F
NA18954,F
NA19023,F
NA19024,F
NA19064,F
NA19152,F
NA19734,F
NA19746,F
NA19752,F
NA20542,F
NA20802,F
NA21101,F
