HG02545
NA20357
NA19455
NA19355
HG03209
HG03190
HG03291
HG02554
NA20332
NA20296
HG03073
HG02481
NA20346
HG02095
NA19149
NA19107
HG02343
HG02624
NA18523
HG02144
HG03115
HG03114
HG02484
NA19247
HG02108
NA18874
HG02595
NA19153
HG03040
HG02439
NA20351
HG02757
HG02580
HG03458
HG02143
HG03078
NA19312
NA20287
NA19430
HG02322
HG03401
NA19159
HG03436
HG03539
NA18871
HG02851
NA19332
HG03432
HG02643
NA19256
HG01271
HG01455
NA19717
HG02278
NA19770
HG01280
HG01374
NA19740
HG01200
HG01250
NA19794
HG01260
NA19678
NA19792
NA19785
HG01083
HG01462
HG01378
NA19669
HG01456
NA19750
HG02277
HG02008
HG01923
HG01372
HG01992
NA19663
HG01323
HG00640
HG01965
HG01980
HG01067
HG01325
HG01242
HG01342
HG01362
HG01413
HG01161
HG01982
HG01991
HG01464
NA19780
HG01351
HG01136
HG01095
HG02275
HG01080
HG00739
HG01942
HG01389
NA18945
NA18539
NA18609
HG01873
NA18749
HG00437
HG00513
HG02394
NA18571
NA18748
NA19011
NA19075
NA18537
HG02390
HG02122
NA18636
HG00500
HG00663
NA18547
NA18642
NA18637
HG01870
HG02023
HG01598
NA18961
HG02396
HG02017
NA18973
HG00698
NA18980
NA18979
HG02407
NA18622
HG00690
NA18573
HG00651
HG01855
HG02364
HG00472
HG00707
HG00581
HG01797
HG00610
HG02375
NA18982
HG02180
HG02380
HG02121
NA19007
NA18953
HG00233
HG00155
NA20762
NA20522
HG00262
HG00334
HG01507
HG01768
HG00284
HG00133
HG00242
HG01632
HG00237
HG00136
HG01777
HG00157
HG00353
HG00108
NA20767
NA12144
HG00306
NA10851
NA12414
HG01668
NA20519
HG02232
HG00142
NA12155
NA12760
HG00349
HG00111
NA20510
NA20534
NA07347
HG00379
HG00304
HG01770
HG02238
NA12828
NA20760
HG00313
HG00260
HG00336
HG02236
NA12762
NA12058
HG01767
HG00285
HG01678
HG01628
HG03920
HG03015
NA20905
NA20910
HG04014
NA21118
HG02793
HG03770
HG03894
HG03868
HG03022
NA21112
HG03615
HG03738
HG03917
HG04039
HG02790
HG03743
HG03646
HG03815
HG03787
HG04159
HG03971
NA21133
HG02651
HG03781
HG03882
HG03643
HG03663
HG03916
HG04080
HG02601
HG04227
HG04153
NA21088
HG03631
HG03856
HG03866
NA21126
HG03905
HG03685
HG04140
HG03885
HG03895
HG03995
HG03706
HG04195
NA21115
HG04001
HG03773
